cl_node_id;lat;lon;zip_code
2547;33.91642274;-118.28934986;90247
2570;33.90458998;-118.28932263;90247
2571;33.90375442;-118.28932497;90247
2590;33.90458911;-118.28719843;90247
2625;33.925565;-118.27606374;90061
4779;34.00910823;-118.2915392;90037
4802;34.00730949;-118.29153992;90037
4825;34.00605078;-118.30017773;90062
4830;34.00550719;-118.29801707;90037
2254;33.93297412;-118.26733943;90061
2267;33.96111916;-118.28270073;90044
2273;33.95873754;-118.27821051;90003
2276;33.95862645;-118.27386476;90003
2278;33.95796897;-118.28147636;90003
2279;33.95796483;-118.28269506;90044
2280;33.95791007;-118.27386526;90003
2283;33.95780677;-118.28472778;90044
2287;33.95736024;-118.28269438;90044
2289;33.95718409;-118.27386609;90003
2334;33.95100155;-118.276628;90003
2360;33.94565949;-118.25863095;90002
2385;33.94378918;-118.28260909;90044
2397;33.94306269;-118.28476748;90044
2401;33.94280859;-118.28260579;90003
2409;33.9423738;-118.24205264;90002
2424;33.94100842;-118.27938314;90003
2465;33.93827244;-118.25416724;90002
2471;33.93651899;-118.27618859;90061
2473;33.93645049;-118.26081702;90059
2478;33.93481716;-118.24426072;90059
2501;33.93709746;-118.23902611;90059
2517;33.94724905;-118.26951555;90003
2824;33.83893993;-118.30773098;90501
2826;33.83892042;-118.30654467;90501
2842;33.86198227;-118.30479865;90248
2843;33.86124857;-118.3047988;90248
2852;33.84379422;-118.30926143;90501
2874;33.86198424;-118.30255764;90248
3567;33.77562412;-118.26208991;90744
3591;33.7738902;-118.2671818;90744
3609;33.77222689;-118.27097255;90744
3639;33.79330485;-118.26347527;90744
3640;33.79323411;-118.26477537;90744
3648;33.79064656;-118.27288977;90744
3649;33.79023228;-118.24676525;90744
3653;33.78893954;-118.266808;90744
2877;33.86197832;-118.30914866;90504
2884;33.82220734;-118.30370934;90501
2896;33.81900387;-118.30146448;90501
2904;33.81361798;-118.3017306;90710
2905;33.81426689;-118.30138805;90710
2932;33.80401106;-118.30333879;90710
2943;33.82570476;-118.29952491;90501
2945;33.82566939;-118.30374972;90501
2949;33.8245031;-118.29952353;90501
3656;33.78879164;-118.26953577;90744
3658;33.7910778;-118.26460665;90744
3666;33.78687608;-118.28086699;90744
3678;33.78648786;-118.27343213;90744
3689;33.78461538;-118.2652093;90744
3701;33.78257666;-118.26839677;90744
3714;33.77737114;-118.27826461;90744
2972;33.81093696;-118.29955725;90710
2974;33.81050037;-118.30253718;90710
3021;33.80189133;-118.2632941;90744
3040;33.79471998;-118.29592922;90710
2640;33.92465372;-118.28193983;90061
2643;33.92372293;-118.2556005;90059
3163;33.7953892;-118.26363838;90744
3169;33.79508991;-118.27743047;90744
55992;34.05437492;-118.25685027;0
3173;33.79498797;-118.27942758;90744
3323;33.78717052;-118.25426623;90744
3337;33.78660826;-118.24712324;90744
3351;33.78566192;-118.24291415;90744
3378;33.78433205;-118.2745698;90744
3381;33.78421455;-118.25279634;90744
3384;33.78414732;-118.27793065;90744
3389;33.78376863;-118.24002803;90744
3403;33.78341677;-118.25041682;90744
3424;33.78216923;-118.24945745;90744
3428;33.7817861;-118.26498704;90744
3507;33.77859521;-118.26101606;90744
3519;33.77817761;-118.27943258;90744
3522;33.77809943;-118.27012481;90744
3545;33.77709075;-118.27527357;90744
3870;33.78519018;-118.23610222;90744
3883;33.78542547;-118.23278156;90744
3904;33.89752838;-118.28315065;90248
3919;33.86272117;-118.29421461;90248
4190;33.96506086;-118.27828726;90003
4219;33.96183713;-118.30025355;90047
4229;33.96213291;-118.28706579;90044
4268;33.95870619;-118.28695914;90044
3983;33.88715601;-118.28713945;90247
4003;33.8807467;-118.28907202;90247
4007;33.88175519;-118.28556401;90247
4016;33.88898421;-118.28663777;90247
4030;33.8769558;-118.28574361;90247
